Endpoint,Property,1,Category,Description,ErrorResponse,Errorresponse,HTTP Verb/Method,SuccessResponse,SuccessResponse 
"
  /api/publisher/post
  ",,,Publisher,"
  Add new publisher object
  ",,"{
  ""code"": ADDFAILS"",
  ""message"":Publisher already exist""
}",POST,,"{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Publisher added successfully""
}"
/api/book/post,,,Book,Add new Book object in DB,,"{
  ""code"": ADDFAILS"",
  ""message"":Book already exist""
}",POST,,"{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Book added successfully""
}"
/api/books/,,,Book,Get all book object,,,GET,,"
  {Books}
  "
/api/book/{isbn},,,Book,Get Book Object,,,GET,,"
  Book
  "
/api/book/title/{title},,,Book,Get Book Object with title,,,GET,,"
  Book
  "
/api/book/category/{category},,,Book,Get Books of given category,,,GET,,"
  {Books}
  "
/api/book/publisher/{publisherId},,,Book,Get Books published by a publisher,,,GET,,"
  {Books}
  "
"
  /api/author/update/firstname/{authorId}
  ",,,Author,"
  Update first name for the given
  Author ID
  ",,,PUT,,
"
  /api/author/lastname/{lastname}
  ",,,Author,"
  Get author with given last name
  ",,,GET,,"
  Author object
  "
"
  /api/author/firstname/{firstname}
  ",,,Author,"
  Get author with given first name
  ",,,GET,,"
  Author object
  "
"
  /api/author/{authorId}
  ",,,Author,"
  Get author object with given
  Author ID
  ",,,GET,,"
  Author object
  "
"
  /api/author/update/lastname/{authorId}
  ",,,Author,"
  Update last name for the given
  Author ID
  ",,,PUT,,
"
  /api/author/books/{authorId}
  ",,,Author,"
  Get all books of an author
  ",,,GET,,"
  {Books}
  "
/api/book/update/title/{isbn},,,Book,Update title of Book object with given ISBN,,,PUT,,"
"
"
  Update title of Book object with given ISBN
  ",,,Book,Update description of Book object with given ISBN,,,PUT,,"
"
"
  /api/author/post
  ",,,Author,"
  Add
  new Author object in DB
  ",,"{
  ""code"": ADDFAILS"",
  ""message"":Author already exist""
}",POST,,"{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Author added successfully""
}"
/api/book/update/category/{isbn},,,Book,Update category of Book object with given ISBN,,,PUT,,"
"
