Name,Category,Description,Error Response,Http Method,Success Response
/api/reservation/post,Reservation,Create a new reservation.,"{
  ""code"": ADDFAILS"",
  ""message"":reservation already exist""
}",POST,"{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Reservation added successfully""
}"
/api/reservation/update/{reservation_id},Reservation,Update reservation details.,"{
  ""code"": UPDTFAILS"",
  ""message"":Reservation doesn't  exist""
}",PUT,"{
  ""code"": ""UPDATESUCCESS"",
  ""message"": ""Reservation updated successfully""
}"
/api/hotels/{hotel_id},Hotel,Get details of a specific hotel by ID.,"{
  ""code"": GETFAILS"",
  ""message"":Hotel doesn't exist exist""
}",GET,{Object of hotel}
/api/rooms/post,Room,Create a new room.,"{
  ""code"": ADDFAILS"",
  ""message"":Room already exist""
}",POST,"{
  ""code"": ""POSTSUCCESS"",
  ""message"": "" room added successfully""
}"
/api/room/all,Room,"Get all rooms ","{
  ""code"": GETALLFAILS"",
  ""message"":room list is empty""
}",GET,{List of all rooms}
/api/review/all,Review,Get a list of all reviews.,"{
  ""code"": GETALLFAILS"",
  ""message"":Review list is empty""
}",GET,{List of object of Review}
/api/reservation/{reservation_id},Reservation,Get reservation By Id,"{
  ""code"":GETFAILS"",
  ""message"":Reservation doesn't exist""
}",GET,{Object of reservation}
/api/room/update/{room_id},Room,Update room details.,"{
  ""code"": UPDTFAILS"",
  ""message"":Room doesn't exist exist""
}",PUT,"{
  ""code"": ""UPDATESUCCESS"",
  ""message"": ""Room updated successfully""
}"
/api/review/update/{review_id},Review,Update review details.,"{
  ""code"": UPDTFAILS"",
  ""message"":Review doesn't exist exist""
}",PUT,"{
  ""code"": ""UPDATESUCCESS"",
  ""message"": ""Review updated successfully""
}"
/api/reservation/{reservation_id},Reservation,Delete a reservation.,"{
  ""code"": DLTFAILS"",
  ""message"":Reservation doesn't exist exist""
}",DELETE,"{
  ""code"": ""DELETESUCCESS"",
  ""message"": ""reservation deleted successfully""
}"
,Room,,,,
/api/review/{review_id},Review,Get details of a specific review by ID.,"{
  ""code"": GETFAILS"",
  ""message"":Review doesn't exist""
}",GET,{Object of Review}
/api/hotels/post,Hotel,Create a new Hotel,"{
  ""code"": ADDFAILS"",
  ""message"":Hotel already exist""
}",POST,"{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Hoteladded successfully""
}"
