Name,Category,Description,Error Response,Http Method,Success Response
/api/attachments/all,Attachment,Get a list of all attachments.,"{
  ""code"": GETALLFAILS"",
  ""message"":Attachment list is empty""
}",GET,{List of object of Attachment}
/api/tasks/update/{taskId},Task,Update task details.,"{
  ""code"": UPDTFAILS"",
  ""message"":Task doesn't exist exist""
}",PUT,"{
  ""code"": ""UPDATESUCCESS"",
  ""message"": ""Task updated successfully""
}"
/api/attachments/delete/{attachmentId},Attachment,Delete an attachment.,"{
  ""code"": DLTFAILS"",
  ""message"":Attacment doesn't exist exist""
}",DELETE,"{
  ""code"": ""DELETESUCCESS"",
  ""message"": ""Comment deleted successfully""
}"
/api/projects/user-role/{roleName},Project,Get projects for users with a specific role.,"{
  ""code"": GETALLFAILS"",
  ""message"":Project list is empty""
}",GET,{list of all  projects}
/api/userroles/updae/{userRoleId},User Role,Update user role details.,"{
  ""code"": UPDTFAILS"",
  ""message"":UserRoles doesn't exist exist""
}",PUT,"{
  ""code"": ""UPDATESUCCESS"",
  ""message"": ""UserRoles updated successfully""
}"
/api/comments/post,Comment,Create a new comment.,"{
  ""code"": ADDFAILS"",
  ""message"":Comments already exist""
}",POST,"{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Comments added successfully""
}"
/api/userroles/all,User Role,Get a list of all user roles.,"{
  ""code"": GETALLFAILS"",
  ""message"":UserRoles list is empty""
}",GET,{List of object of UserRoles}
/api/categories/{categoryId},Category,Delete a category.,"{
  ""code"": DLTFAILS"",
  ""message"":Category doesn't exist exist""
}",DELETE,"{
  ""code"": ""DELETESUCCESS"",
  ""message"": ""Category deleted successfully""
}"
/api/users/delete/{userId},User,Delete a user,"{
  ""code"": DLTFAILS"",
  ""message"":User doesn't exist exist""
}",DELETE,"{
  ""code"": ""DELETESUCCESS"",
  ""message"": ""User deleted successfully""
}"
/api/tasks/due-soon,Task,Get tasks that are due soon.,"{
  ""code"": GETALLFAILS"",
  ""message"":Task list is empty""
}",GET,{List of task}
/api/projects/post,Project,Create a new project.,"{
  ""code"": ADDFAILS"",
  ""message"":Project already exist""
}",POST,"{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Project added successfully""
}"
/api/comments/update/{commentId},Comment,Update comment details.,"{
  ""code"": UPDTFAILS"",
  ""message"":category doesn't exist""
}",PUT,"{
  ""code"": ""UPDATESUCCESS"",
  ""message"": ""Comment updated successfully""
}"
/api/userroles/delete/{userRoleId},User Role,Delete a user role.,"{
  ""code"": DLTFAILS"",
  ""message"":UserRoles doesn't  exist""
}",DELETE,"{
  ""code"": ""DELETESUCCESS"",
  ""message"": ""UserRoles deleted successfully""
}"
/api/tasks/{taskId},Task,Delete a task.,"{
  ""code"": DLTFAILS"",
  ""message"":Task doesn't exist exist""
}",DELETE,"{
  ""code"": ""DELETESUCCESS"",
  ""message"": ""task deleted successfully""
}"
/api/categories/post,Category,Create a new category.,"{
  ""code"": ADDFAILS"",
  ""message"":category already exist""
}",POST,"{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Category added successfully""
}"
/api/userroles/revoke/{userRoleId}/{userId},UserRoles,Revoke a user role from a user.,"{
  ""code"": DLTFAILS"",
  ""message"":UserRole doesn't  exist""
}",DELETE,"{
  ""code"": ""DELETESUCCESS"",
  ""message"": ""UserRole deleted successfully""
}"
/api/projects/high-priority-tasks,Project,Get projects with high-priority tasks.,"{
  ""code"": GETALLFAILS"",
  ""message"":Project list is empty""
}",GET,{list of all  projects}
/api/users/most-tasks,User,users who are assigned the most tasks,"{
  ""code"": ADDFAILS"",
  ""message"":User already exist""
}",GET,{list of Object of user }
/api/users/search/{name},User,Search for users by name,"{
  ""code"": GETFAILS"",
  ""message"":User doesn't exist exist""
}",GET,{Object of user }
/api/projects/status/{status},Project,Get projects by status.,"{
  ""code"": GETALLFAILS"",
  ""message"":Project list is empty""
}",GET,{list of all  projects}
/api/attachments/post,Attachment,Upload a new attachment.,"{
  ""code"": ADDFAILS"",
  ""message"":Attachment already exist""
}",POST,"{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Attachment added successfully""
}"
/api/projects/delete/{projectId},Project,Delete a project.,"{
  ""code"": DLTFAILS"",
  ""message"":Project doesn't exist exist""
}",DELETE,"{
  ""code"": ""DELETESUCCESS"",
  ""message"": ""Proejct deleted successfully""
}"
